,none,E2,E3,E4,I2
601,1.0,1.0,2.0,2.0,2.0
602,2.0,1.0,2.0,2.0,7.0
603,4.0,2.0,3.0,3.0,14.0
604,3.0,2.0,2.0,2.0,7.0
605,3.0,2.0,2.0,2.0,7.0
606,3.0,2.0,3.0,3.0,8.0
607,4.0,1.0,3.0,3.0,15.0
608,4.0,2.0,3.0,3.0,14.0
609,4.0,2.0,3.0,3.0,15.0
610,3.0,3.0,3.0,3.0,7.0
611,5.0,1.0,3.0,2.0,14.0
612,2.0,2.0,2.0,3.0,10.0
613,4.0,1.0,2.0,2.0,8.0
614,2.0,2.0,2.0,2.0,7.0
615,11.0,12.0,3.0,10.0,47.0
616,2.0,2.0,2.0,2.0,8.0
617,5.0,2.0,3.0,3.0,17.0
618,1.0,1.0,1.0,1.0,1.0
619,4.0,1.0,3.0,3.0,8.0
620,5.0,3.0,3.0,3.0,64.0
621,2.0,1.0,2.0,1.0,8.0
622,4.0,2.0,3.0,2.0,13.0
623,5.0,2.0,3.0,5.0,62.0
624,4.0,1.0,3.0,2.0,23.0
625,7.0,1.0,3.0,5.0,26.0
626,4.0,1.0,2.0,3.0,14.0
627,1.0,1.0,1.0,1.0,1.0
628,6.0,1.0,3.0,5.0,19.0
629,4.0,3.0,3.0,4.0,13.0
630,5.0,8.0,3.0,3.0,15.0
