,none,E1,E2,I1
631,3.0,3.0,2.0,2.0
632,2.0,1.0,0.0,2.0
633,3.0,1.0,0.0,4.0
634,3.0,2.0,2.0,3.0
635,3.0,1.0,1.0,2.0
636,3.0,2.0,1.0,3.0
637,3.0,2.0,1.0,5.0
638,3.0,2.0,1.0,3.0
639,2.0,2.0,1.0,2.0
640,4.0,2.0,1.0,4.0
641,3.0,2.0,1.0,2.0
642,3.0,1.0,1.0,2.0
643,2.0,1.0,0.0,2.0
644,4.0,2.0,2.0,5.0
645,3.0,3.0,1.0,2.0
646,3.0,2.0,1.0,2.0
647,2.0,1.0,1.0,2.0
648,3.0,2.0,0.0,3.0
649,3.0,2.0,1.0,4.0
650,2.0,2.0,1.0,2.0
651,5.0,1.0,1.0,5.0
652,2.0,1.0,0.0,3.0
653,3.0,2.0,1.0,3.0
654,3.0,2.0,1.0,3.0
655,3.0,3.0,2.0,4.0
656,2.0,2.0,0.0,2.0
657,3.0,1.0,1.0,3.0
658,2.0,1.0,0.0,2.0
659,2.0,1.0,0.0,2.0
660,3.0,3.0,2.0,3.0
661,2.0,1.0,0.0,2.0
662,2.0,1.0,0.0,2.0
663,3.0,2.0,1.0,3.0
664,3.0,2.0,2.0,3.0
665,3.0,2.0,1.0,3.0
666,4.0,2.0,1.0,4.0
667,2.0,1.0,0.0,2.0
668,2.0,0.0,0.0,3.0
669,2.0,0.0,0.0,2.0
670,3.0,2.0,1.0,2.0
671,2.0,1.0,1.0,2.0
672,2.0,1.0,0.0,2.0
673,3.0,2.0,1.0,5.0
674,4.0,2.0,1.0,5.0
675,2.0,0.0,0.0,2.0
676,3.0,1.0,1.0,3.0
677,3.0,0.0,0.0,3.0
678,4.0,2.0,2.0,5.0
679,2.0,1.0,0.0,2.0
680,3.0,2.0,1.0,3.0
681,3.0,2.0,1.0,3.0
682,2.0,2.0,1.0,2.0
683,2.0,1.0,0.0,2.0
684,5.0,2.0,2.0,5.0
685,2.0,3.0,1.0,2.0
686,4.0,1.0,1.0,5.0
687,4.0,2.0,1.0,5.0
688,2.0,0.0,0.0,3.0
689,3.0,2.0,1.0,3.0
690,2.0,1.0,0.0,2.0
691,3.0,0.0,0.0,2.0
692,4.0,1.0,1.0,4.0
693,3.0,2.0,1.0,3.0
694,5.0,2.0,1.0,6.0
695,2.0,1.0,0.0,2.0
696,2.0,1.0,0.0,2.0
697,3.0,2.0,2.0,3.0
698,3.0,2.0,1.0,3.0
699,2.0,0.0,0.0,2.0
700,3.0,3.0,1.0,3.0
701,3.0,3.0,2.0,5.0
702,3.0,2.0,1.0,3.0
703,3.0,2.0,1.0,3.0
704,5.0,2.0,1.0,5.0
705,3.0,1.0,1.0,2.0
706,2.0,1.0,0.0,2.0
707,3.0,2.0,1.0,4.0
708,4.0,1.0,1.0,3.0
709,2.0,1.0,0.0,2.0
710,5.0,2.0,1.0,4.0
711,2.0,2.0,1.0,3.0
712,3.0,2.0,2.0,3.0
713,2.0,0.0,0.0,2.0
714,3.0,3.0,1.0,5.0
715,3.0,2.0,1.0,5.0
716,2.0,1.0,1.0,2.0
717,2.0,1.0,1.0,2.0
718,4.0,3.0,2.0,3.0
719,3.0,2.0,1.0,5.0
720,3.0,2.0,2.0,4.0
721,2.0,1.0,1.0,3.0
722,4.0,2.0,2.0,3.0
723,4.0,3.0,2.0,5.0
724,2.0,1.0,0.0,2.0
725,2.0,0.0,0.0,3.0
726,3.0,3.0,1.0,2.0
727,3.0,2.0,1.0,2.0
728,2.0,1.0,0.0,2.0
729,2.0,1.0,0.0,2.0
730,3.0,2.0,1.0,2.0
731,3.0,2.0,1.0,3.0
732,3.0,2.0,1.0,3.0
733,3.0,2.0,1.0,3.0
734,3.0,2.0,1.0,3.0
735,3.0,2.0,1.0,3.0
736,2.0,0.0,0.0,3.0
737,2.0,1.0,1.0,2.0
738,5.0,2.0,2.0,6.0
739,3.0,2.0,1.0,3.0
740,3.0,2.0,2.0,3.0
741,2.0,2.0,1.0,2.0
742,3.0,2.0,2.0,3.0
743,2.0,1.0,0.0,2.0
744,2.0,0.0,0.0,2.0
745,3.0,1.0,1.0,3.0
746,5.0,2.0,1.0,6.0
747,2.0,2.0,1.0,2.0
748,2.0,0.0,0.0,2.0
749,2.0,1.0,0.0,2.0
750,2.0,1.0,1.0,2.0
751,3.0,2.0,1.0,2.0
752,4.0,2.0,1.0,3.0
753,3.0,2.0,1.0,3.0
754,3.0,2.0,1.0,3.0
755,3.0,1.0,1.0,3.0
756,2.0,2.0,1.0,2.0
757,4.0,2.0,1.0,4.0
758,5.0,2.0,2.0,8.0
759,2.0,1.0,0.0,2.0
760,3.0,2.0,1.0,2.0
761,3.0,2.0,1.0,3.0
762,3.0,2.0,1.0,3.0
763,4.0,2.0,1.0,5.0
764,2.0,0.0,0.0,2.0
765,3.0,2.0,1.0,3.0
766,3.0,2.0,1.0,3.0
767,3.0,2.0,1.0,2.0
768,2.0,0.0,0.0,3.0
769,4.0,3.0,1.0,6.0
770,2.0,2.0,1.0,2.0
771,2.0,2.0,1.0,2.0
772,4.0,2.0,1.0,3.0
