,none,E1,E2,I2
723,8.0,8.0,4.0,18.0
724,10.0,2.0,1.0,12.0
725,7.0,3.0,1.0,13.0
726,8.0,5.0,3.0,16.0
727,10.0,3.0,1.0,11.0
728,10.0,5.0,3.0,12.0
729,9.0,7.0,3.0,15.0
730,8.0,1.0,1.0,12.0
731,8.0,7.0,3.0,18.0
732,13.0,4.0,2.0,14.0
733,10.0,1.0,1.0,13.0
734,7.0,6.0,3.0,20.0
735,10.0,5.0,2.0,15.0
736,8.0,5.0,3.0,14.0
737,10.0,1.0,1.0,10.0
738,9.0,6.0,3.0,16.0
739,9.0,1.0,1.0,12.0
740,8.0,1.0,1.0,12.0
741,8.0,3.0,1.0,12.0
742,9.0,5.0,2.0,14.0
743,8.0,5.0,2.0,13.0
744,8.0,6.0,2.0,12.0
745,10.0,2.0,1.0,11.0
746,10.0,3.0,1.0,13.0
747,7.0,7.0,5.0,20.0
748,9.0,3.0,1.0,10.0
749,8.0,6.0,2.0,14.0
750,9.0,3.0,1.0,13.0
751,7.0,7.0,2.0,13.0
752,7.0,7.0,4.0,14.0
753,9.0,3.0,2.0,11.0
754,7.0,5.0,2.0,12.0
755,14.0,6.0,3.0,13.0
756,7.0,3.0,1.0,13.0
757,7.0,5.0,5.0,16.0
758,7.0,1.0,1.0,11.0
759,8.0,6.0,3.0,13.0
760,8.0,5.0,3.0,13.0
761,9.0,2.0,1.0,13.0
762,9.0,6.0,1.0,14.0
763,8.0,7.0,3.0,18.0
764,10.0,3.0,1.0,10.0
765,7.0,4.0,1.0,11.0
766,10.0,6.0,3.0,12.0
767,11.0,1.0,1.0,14.0
768,7.0,2.0,1.0,12.0
769,12.0,4.0,3.0,13.0
770,9.0,4.0,2.0,14.0
771,8.0,5.0,1.0,13.0
772,9.0,3.0,2.0,12.0
